Date;Time_GMT;Strike_1;Dip_1;Rake_1;Strike_2;Dip_2;Rake_2;Magnitude;Depth_km;Depth;Lat;Lon;P_Az;P_pl;T_Az;T_pl;B_Az;B_pl;
2012-01-16;15:23:45;95;34;153;208;75;59;4.3;69.9;-69.9;11.405;-71.952;321;24;83;50;217;30;
2012-08-27;03:24:10;202;55;108;353;38;66;4.3;6;-6;7.867;-78.325;279;8;160;73;11;15;
2012-09-12;05:23:16;127;28;104;291;62;82;4.3;34.4;-34.4;9.3;-77.813;27;18;185;71;295;7;
2012-09-30;09:30:12;176;87;-51;270;39;-176;4.3;46.3;-46.3;8.388;-77.092;119;36;235;31;354;39;
2013-01-02;02:18:33;54;71;146;156;58;22;4;34.6;-34.6;8.755;-77.493;108;8;11;37;208;52;
2013-05-02;03:42:20;75;52;134;197;55;48;4.4;46.2;-46.2;11.316;-73.39;316;2;49;57;224;33;
2014-02-14;21:14:24;201;73;121;317;35;31;4.8;69.9;-69.9;11.559;-73.174;268;22;147;52;11;30;
2014-02-21;11:43:29;45;73;-84;204;19;-110;5.3;45.3;-45.3;12.503;-70.829;324;62;130;28;223;6;
2014-02-28;12:54:39;201;41;-9;298;84;-130;4.3;31.6;-31.6;11.953;-73.54;172;37;59;27;303;40;
2014-03-23;14:58:00;11;80;-67;124;26;-155;4.6;43.7;-43.7;10.639;-73.404;306;50;82;31;187;23;
2014-06-01;02:37:35;36;70;82;237;22;110;4.7;3.5;-3.5;10.337;-72.862;132;25;293;64;39;8;
2014-07-27;20:34:32;204;88;-34;295;56;-178;4.7;35.9;-35.9;13.035;-70.54;154;25;255;22;21;56;
2014-09-11;22:05:05;254;64;164;351;76;27;4;19.9;-19.9;10.661;-72.738;121;8;215;29;17;60;
2014-11-09;12:46:26;239;49;-26;347;71;-135;4.3;20.3;-20.3;12.768;-72.761;212;44;108;13;6;43;
2014-11-28;04:36:23;163;63;163;260;75;28;5;59.3;-59.3;8.72;-77.497;30;8;125;30;287;58;
2015-01-10;06:17:54;168;76;115;286;28;31;4.3;39.9;-39.9;8.358;-77.173;238;27;107;52;342;24;
2015-05-09;14:31:52;246;73;-17;341;74;-163;4.9;36.7;-36.7;11.419;-72.219;204;24;113;1;22;66;
2015-07-29;00:10:24;29;69;22;290;70;157;5.9;31.9;-31.9;8.155;-77.337;340;0;250;30;71;60;
2015-09-07;05:51:17;1;58;50;238;49;135;4.6;10.7;-10.7;8.683;-77.89;118;5;216;57;25;33;
2015-09-14;15:38:22;207;57;135;326;54;43;4.6;26.1;-26.1;7.589;-78.451;267;2;174;54;358;36;
2015-11-16;13:11:55;134;71;-33;236;59;-158;4.5;59.9;-59.9;8.351;-77.138;92;36;187;8;287;52;
2017-02-12;09:32:28;97;22;107;259;69;83;5.9;31.9;-31.9;12.28;-73.182;354;24;157;65;261;6;
2017-05-31;21:14:46;96;61;-162;357;74;-30;5.2;69.9;-69.9;12.05;-74.299;313;32;49;9;152;56;
2018-06-26;7:03:41;8;40;27;257;73;127;4.1;26.9;-26.9;11.28;-74.85;320;20;206;48;64;35;
2018-08-18;19:39:09;139;35;117;287;59;72;5.5;17.7;-17.7;8.66;-77.33;30;13;158;70;296;15;
2018-09-07;01:47:23;29;68;64;262;34;138;5.3;13.3;-13.3;7.99;-77.64;138;19;262;59;39;24;
2018-10-19;07:40:07;49;65;38;300;56;149;4;16.8;-16.8;10.37;-74.01;173;5;268;44;77;46;
2018-10-29;21:31:18;133;35;102;298;56;82;4.8;16.5;-16.5;8.74;-77.27;34;11;181;77;303;7;
2019-09-29;11:20:01;75;29;89;257;61;91;5;13.9;-13.9;12.02;-73.72;346;16;168;74;76;0;
